ds,yhat,yhat_lower,yhat_upper,subtopic,model,target
2023-09-03,0.036395216567778194,-0.4079755159427645,0.5485602691994838,Generative AI,Prophet,sentiment_mean
2023-09-10,0.11717135299427898,-0.3590347598749555,0.5876795744277934,Generative AI,Prophet,sentiment_mean
2023-09-17,0.23251249583562852,-0.19707711853925805,0.6610990931266003,Generative AI,Prophet,sentiment_mean
2023-09-24,0.33639992737304714,-0.15094545138667825,0.7878907061389467,Generative AI,Prophet,sentiment_mean
2023-10-01,0.37689451311804334,-0.0967870400451403,0.8098702658287249,Generative AI,Prophet,sentiment_mean
2023-10-08,0.3286760474274355,-0.12545664520716174,0.7947079137968773,Generative AI,Prophet,sentiment_mean
2023-10-15,0.2220999356058097,-0.22979188655770447,0.674761978756077,Generative AI,Prophet,sentiment_mean
2023-10-22,0.13145142190714343,-0.322593353135085,0.5564452782845367,Generative AI,Prophet,sentiment_mean
2023-10-29,0.11749172206395515,-0.3408857349493606,0.5427111259013853,Generative AI,Prophet,sentiment_mean
2023-11-05,0.17418902714463333,-0.27329588268109,0.6416831230815825,Generative AI,Prophet,sentiment_mean
2023-11-12,0.2383958658591029,-0.23992300026982208,0.7207495834137696,Generative AI,Prophet,sentiment_mean
2023-11-19,0.255742372010504,-0.20815747382128338,0.709946021166182,Generative AI,Prophet,sentiment_mean
2023-11-26,0.23417165912916935,-0.24188866481270166,0.6716278300246598,Generative AI,Prophet,sentiment_mean
2023-12-03,0.22442109356841644,-0.27121180688776714,0.6906422136823617,Generative AI,Prophet,sentiment_mean
2023-12-10,0.2510020863147356,-0.2057218114933431,0.7107478795310112,Generative AI,Prophet,sentiment_mean
2023-12-17,0.27630649643021976,-0.20196555786386364,0.7337963215920416,Generative AI,Prophet,sentiment_mean
2023-12-24,0.244282120224443,-0.21084802069555822,0.6906138746978329,Generative AI,Prophet,sentiment_mean
2023-12-31,0.15302658270785344,-0.3163866302642634,0.5962604442649106,Generative AI,Prophet,sentiment_mean
2024-01-07,0.0706352565861861,-0.4121541707838395,0.5310918778201087,Generative AI,Prophet,sentiment_mean
2024-01-14,0.06992283185857831,-0.36970656668630436,0.496986575934396,Generative AI,Prophet,sentiment_mean
2024-01-21,0.1529087293785704,-0.2980739459515292,0.6171124740163553,Generative AI,Prophet,sentiment_mean
2024-01-28,0.24868404078674994,-0.18850780812210197,0.6834052112382671,Generative AI,Prophet,sentiment_mean
2024-02-04,0.2850640012338479,-0.16831708160263065,0.7597360034313689,Generative AI,Prophet,sentiment_mean
2024-02-11,0.2540925650848888,-0.21198233059861674,0.7505673842054778,Generative AI,Prophet,sentiment_mean
2024-02-18,0.20294868898634605,-0.26605278808871663,0.6635847126536056,Generative AI,Prophet,sentiment_mean
2024-02-25,0.17192594666580005,-0.2868673208837336,0.6507115237212241,Generative AI,Prophet,sentiment_mean
2024-03-03,0.1547763724109205,-0.3455957261401645,0.6246443579062377,Generative AI,Prophet,sentiment_mean
2024-03-10,0.12109374650215612,-0.3326323568104607,0.5925467195365662,Generative AI,Prophet,sentiment_mean
2024-03-17,0.06355434873335353,-0.3772987617091169,0.5284156404214007,Generative AI,Prophet,sentiment_mean
2024-03-24,0.009838344589260278,-0.4795057357983762,0.47962183481201737,Generative AI,Prophet,sentiment_mean
2024-03-31,-0.008994777925204755,-0.47530149854823067,0.4574246806014107,Generative AI,Prophet,sentiment_mean
2024-04-07,0.010496206603843317,-0.4769134964759033,0.4667824911017363,Generative AI,Prophet,sentiment_mean
2024-04-14,0.05083369222455139,-0.40067100869669936,0.4908209279730755,Generative AI,Prophet,sentiment_mean
2024-04-21,0.09998871815401549,-0.3658589023444877,0.5818688183032324,Generative AI,Prophet,sentiment_mean
2024-04-28,0.1571209452445807,-0.26515159850113346,0.6025361452786118,Generative AI,Prophet,sentiment_mean
2024-05-05,0.21262254485050439,-0.24274606385616873,0.6726322138673021,Generative AI,Prophet,sentiment_mean
